tstidn,expidn,unique,expsit,agepar,gender,region,poccup,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crtre1,crtre2,crtre3,crtre4,crtre5,crtre6,crtre7,crtco1,crtco2,crtco3,crtco4,crtco5,crtco6,crtco7,critie1,critie2,critie3,critie4,critie5,critie6,critie7,crtin1,crtin2,crtin3,crtin4,crtin5,crtin6,crtin7,critnr1,critnr2,critnr3,critnr4,critnr5,critnr6,critnr7,crtrr1,crtrr2,crtrr3,crtrr4,crtrr5,crtrr6,crtrr7,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,religr,politr,pedlev,fedlev,tstamp,accept,expidt,crtfr1,crtfr2,crtfr3,crtfr4,crtfr5,crtfr6,crtfr7,religo,polito,disto1,disto2,disto3,distn1,distn2,distn3,distc1,distc2,distc3,distd1,distd2,distd3,distr1,distr2,distr3,distl1,distl2,distl3
1,1,1 UN,1 PI,24,2 MA,15,1 ST,1,1,1,1,2,1,1,1,2,1,1,2,2,4,4,2,1,3,3,4,2,1,1,1,1,1,1,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 10:24:34,Si,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1 UN,1 PI,26,2 MA,15,5 HD,1,1,1,1,2,1,1,1,3,2,2,4,2,2,3,3,1,2,1,4,3,2,1,1,2,1,1,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 10:26:55,Si,002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1 UN,1 PI,24,2 MA,15,1 ST,2,2,3,2,4,4,3,4,4,2,4,4,4,3,3,3,3,5,4,5,5,2,1,1,3,3,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:26:00,Si,003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,1 UN,1 PI,23,1 FE,15,1 ST,1,1,2,1,1,2,2,2,4,2,2,2,4,4,4,3,2,3,2,4,3,2,1,1,1,3,1,0,0,0,1,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:28:05,Si,004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1 UN,1 PI,29,1 FE,15,1 ST,3,3,4,4,3,3,3,3,3,4,2,4,3,4,3,2,3,4,3,5,,2,5,5,1,1,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:33:16,Si,005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,2 DU,1 PI,27,2 MA,15,6 OT,2,2,1,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,3,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:01:10,Si,007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,2 DU,1 PI,26,2 MA,15,1 ST,1,1,1,1,2,1,1,2,2,2,2,4,4,3,3,4,5,5,5,4,5,3,1,1,1,1,1,0,1,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:08:29,Si,007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,1 UN,1 PI,25,2 MA,15,2 IW,1,1,1,1,4,4,4,4,4,1,4,4,4,4,5,5,3,5,1,5,5,5,1,1,1,5,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:06:19,Si,008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,1 UN,1 PI,22,2 MA,15,1 ST,2,1,1,4,3,3,1,4,3,4,4,4,4,4,2,3,4,4,5,5,3,3,2,3,3,4,4,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:08:10,Si,009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,1 UN,1 PI,18,2 MA,15,1 ST,1,2,2,2,3,2,2,2,3,3,3,4,4,3,3,3,4,5,4,,4,3,3,2,3,3,2,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:30:23,Si,0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
